goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4599	    260814 ns/op	 302.31 MB/s	    245385 signatures/s	   1243136 table-bytes	         4.075 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4599	    260493 ns/op	 302.69 MB/s	    245688 signatures/s	   1243136 table-bytes	         4.070 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4605	    260506 ns/op	 302.67 MB/s	    245676 signatures/s	   1243136 table-bytes	         4.070 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4605	    260455 ns/op	 302.73 MB/s	    245724 signatures/s	   1243136 table-bytes	         4.070 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4603	    260543 ns/op	 302.63 MB/s	    245641 signatures/s	   1243136 table-bytes	         4.071 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4604	    260555 ns/op	 302.62 MB/s	    245630 signatures/s	   1243136 table-bytes	         4.071 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49432	     24274 ns/op	 168.74 MB/s	     41197 signatures/s	   1243136 table-bytes	        24.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49424	     24284 ns/op	 168.67 MB/s	     41179 signatures/s	   1243136 table-bytes	        24.28 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49386	     24299 ns/op	 168.57 MB/s	     41154 signatures/s	   1243136 table-bytes	        24.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49392	     24297 ns/op	 168.58 MB/s	     41157 signatures/s	   1243136 table-bytes	        24.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49393	     24297 ns/op	 168.58 MB/s	     41157 signatures/s	   1243136 table-bytes	        24.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49407	     24290 ns/op	 168.63 MB/s	     41169 signatures/s	   1243136 table-bytes	        24.29 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49401	     24297 ns/op	 168.58 MB/s	     41158 signatures/s	   1243136 table-bytes	        24.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49423	     24284 ns/op	 168.67 MB/s	     41179 signatures/s	   1243136 table-bytes	        24.28 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49411	     24283 ns/op	 168.67 MB/s	     41180 signatures/s	   1243136 table-bytes	        24.28 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1        	   49411	     24284 ns/op	 168.67 MB/s	     41179 signatures/s	   1243136 table-bytes	        24.28 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24769	     48449 ns/op	 169.09 MB/s	     41281 signatures/s	   1243136 table-bytes	        24.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24768	     48448 ns/op	 169.09 MB/s	     41281 signatures/s	   1243136 table-bytes	        24.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24769	     48437 ns/op	 169.13 MB/s	     41291 signatures/s	   1243136 table-bytes	        24.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24759	     48450 ns/op	 169.08 MB/s	     41279 signatures/s	   1243136 table-bytes	        24.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24762	     48462 ns/op	 169.04 MB/s	     41269 signatures/s	   1243136 table-bytes	        24.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2        	   24760	     48467 ns/op	 169.02 MB/s	     41265 signatures/s	   1243136 table-bytes	        24.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
